timestamp,simulation_time,total_vehicles,average_waiting_time,total_queue_length,north_vehicles,south_vehicles,east_vehicles,west_vehicles,north_pressure,south_pressure,east_pressure,west_pressure,current_phase,controller_mode,emergency_active
1770028055.202393,0.9,12,0.0,0,3,3,3,3,3.0,3.0,3.0,3.0,0,fixed,False
1770028055.220566,1.9,16,0.0,0,4,4,4,4,4.0,4.0,4.0,4.0,0,fixed,False
1770028055.2273881,2.9,16,0.0,0,4,4,4,4,4.0,4.0,4.0,4.0,0,fixed,False
1770028055.2339277,3.9,16,0.0,0,4,4,4,4,4.0,4.0,4.0,4.0,0,fixed,False
1770028055.2442276,4.9,16,0.0,0,4,4,4,4,4.0,4.0,4.0,4.0,0,fixed,False
1770028055.2562912,5.9,16,0.0,0,4,4,4,4,4.0,4.0,4.0,4.0,0,fixed,False
1770028055.2681844,6.9,16,0.0,0,4,4,4,4,4.0,4.0,4.0,4.0,0,fixed,False
1770028055.2828832,7.9,18,0.0,0,4,4,5,5,4.0,4.0,5.0,5.0,0,fixed,False
1770028055.3049464,8.9,18,0.0,0,4,4,5,5,4.0,4.0,5.0,5.0,0,fixed,False
1770028055.3120782,9.9,19,0.0,0,5,4,5,5,5.0,4.0,5.0,5.0,0,fixed,False
1770028055.3328507,10.9,20,0.0,0,5,5,5,5,5.0,5.0,5.0,5.0,0,fixed,False
1770028055.3385012,11.9,20,0.0,0,5,5,5,5,5.0,5.0,5.0,5.0,0,fixed,False
1770028055.3425982,12.9,20,0.0,0,5,5,5,5,5.0,5.0,5.0,5.0,0,fixed,False
1770028055.3521526,13.9,20,0.0,0,5,5,5,5,5.0,5.0,5.0,5.0,0,fixed,False
1770028055.3521526,14.9,21,0.0,0,5,5,6,5,5.0,5.0,6.0,5.0,0,fixed,False
1770028055.3625214,15.9,22,0.0,0,5,5,6,6,5.0,5.0,6.0,6.0,0,fixed,False
1770028055.3678238,16.9,22,0.0,0,5,5,6,6,5.0,5.0,6.0,6.0,0,fixed,False
1770028055.3678238,17.9,22,0.0,0,5,5,6,6,5.0,5.0,6.0,6.0,0,fixed,False
1770028055.3774133,18.9,23,0.0,0,6,5,6,6,6.0,5.0,6.0,6.0,0,fixed,False
1770028055.3838885,19.9,23,0.0,0,6,5,6,6,6.0,5.0,6.0,6.0,0,fixed,False
1770028055.3926873,20.9,25,0.0,0,6,6,7,6,6.0,6.0,7.0,6.0,0,fixed,False
1770028055.3942032,21.9,26,0.0,0,6,6,8,6,6.0,6.0,8.0,6.0,0,fixed,False
1770028055.4008656,22.9,28,0.0,0,6,6,8,8,6.0,6.0,8.0,8.0,0,fixed,False
1770028055.4008656,23.9,28,0.0,0,6,6,8,8,6.0,6.0,8.0,8.0,0,fixed,False
1770028055.4008656,24.9,30,0.0,0,8,6,8,8,8.0,6.0,8.0,8.0,0,fixed,False
1770028055.4163985,25.9,31,0.0,0,8,6,8,9,8.0,6.0,8.0,9.0,0,fixed,False
1770028055.4326866,26.9,30,0.02333333333333333,1,7,6,8,9,7.0,6.0,8.0,9.07,0,fixed,False
1770028055.4326866,27.9,31,0.08709677419354839,2,7,6,9,9,7.0,6.0,9.1,9.17,0,fixed,False
1770028055.442522,28.9,32,0.22812500000000002,5,7,6,10,9,7.0,6.16,10.2,9.37,0,fixed,False
1770028055.4510064,29.9,31,0.3967741935483871,5,6,6,10,9,6.0,6.36,10.3,9.57,0,fixed,False
1770028055.4642363,30.9,34,0.5088235294117647,5,6,8,10,10,6.0,8.56,10.4,10.77,1,fixed,False
1770028055.4797928,31.9,34,0.6794117647058823,6,6,8,10,10,6.0,8.76,10.58,10.97,1,fixed,False
1770028055.482897,32.9,34,0.8735294117647059,7,6,8,10,10,6.0,8.96,10.78,11.23,1,fixed,False
1770028055.4948695,33.9,34,1.0941176470588236,8,6,8,10,10,6.0,9.16,11.03,11.530000000000001,1,fixed,False
1770028055.5010996,34.9,31,1.0451612903225806,6,6,8,7,10,6.0,9.41,7.0,11.83,2,fixed,False
1770028055.5105557,35.9,31,1.2580645161290323,7,6,8,7,10,6.06,9.71,7.0,12.129999999999999,2,fixed,False
1770028055.5271795,36.9,34,1.3529411764705883,7,7,9,8,10,7.16,11.01,8.0,12.43,2,fixed,False
1770028055.532781,37.9,34,1.5588235294117647,7,7,9,7,11,7.26,11.31,7.0,13.73,2,fixed,False
1770028055.532781,38.9,34,1.785294117647059,8,7,9,7,11,7.36,11.61,7.0,14.1,2,fixed,False
1770028055.5428357,39.9,33,2.106060606060606,9,7,9,6,11,7.46,11.99,6.0,14.5,2,fixed,False
1770028055.5571823,40.9,34,2.329411764705882,10,7,9,7,11,7.63,12.39,7.0,14.9,2,fixed,False
1770028055.5595899,41.9,34,2.629411764705882,11,7,10,6,11,7.83,13.809999999999999,6.0,15.3,2,fixed,False
1770028055.5595899,42.9,34,2.9764705882352938,12,7,10,6,11,8.03,14.309999999999999,6.0,15.780000000000001,2,fixed,False
1770028055.5732648,43.9,35,3.234285714285714,12,7,10,7,11,8.23,14.809999999999999,7.0,16.28,2,fixed,False
1770028055.582798,44.9,35,3.5771428571428574,12,7,10,7,11,8.43,15.31,7.0,16.78,2,fixed,False
1770028055.593011,45.9,39,3.5179487179487174,12,8,10,8,13,9.63,15.81,8.0,19.28,2,fixed,False
1770028055.5975266,46.9,39,3.8256410256410254,12,8,10,8,13,9.83,16.310000000000002,8.0,19.78,2,fixed,False
1770028055.6051152,47.9,39,4.151282051282051,13,8,10,8,13,10.030000000000001,16.81,8.0,20.35,2,fixed,False
1770028055.6051152,48.9,41,4.265853658536585,13,10,10,8,13,12.23,17.31,8.0,20.95,2,fixed,False
1770028055.6272929,49.9,41,4.582926829268293,13,10,10,8,13,12.43,17.810000000000002,8.0,21.55,2,fixed,False
1770028055.6494906,50.9,42,4.8047619047619055,14,10,10,9,13,12.719999999999999,18.310000000000002,9.0,22.15,2,fixed,False
1770028055.652867,51.9,44,4.925000000000001,15,10,11,8,15,13.11,19.810000000000002,8.0,24.75,2,fixed,False
1770028055.652867,52.9,44,5.2659090909090915,15,10,11,7,16,13.51,20.310000000000002,7.0,26.35,2,fixed,False
1770028055.668001,53.9,43,5.73953488372093,16,10,11,6,16,13.91,20.810000000000002,6.0,26.96,2,fixed,False
1770028055.6777692,54.9,44,5.972727272727273,16,11,11,6,16,15.31,21.310000000000002,6.0,27.66,2,fixed,False
1770028055.6926847,55.9,44,6.347727272727273,17,11,11,6,16,15.71,21.810000000000002,6.0,28.41,2,fixed,False
1770028055.6926847,56.9,44,6.775,19,11,11,6,16,16.19,22.310000000000002,6.0,29.310000000000002,2,fixed,False
1770028055.7017224,57.9,45,7.057777777777778,20,11,11,7,16,16.740000000000002,22.810000000000002,7.0,30.21,2,fixed,False
1770028055.7017224,58.9,45,7.511111111111111,21,11,11,7,16,17.34,23.35,7.0,31.110000000000003,2,fixed,False
1770028055.7163439,59.9,45,7.977777777777778,21,11,11,7,16,17.94,23.950000000000003,7.0,32.010000000000005,2,fixed,False
1770028055.733468,60.9,48,7.922916666666667,22,11,12,8,17,18.54,25.55,8.0,33.94,2,fixed,False
1770028055.733468,61.9,49,8.224489795918368,23,11,13,8,17,19.14,27.220000000000002,8.0,34.94,2,fixed,False
1770028055.743079,62.9,49,8.693877551020408,23,11,13,8,17,19.740000000000002,27.92,8.0,35.94,2,fixed,False
1770028055.7512178,63.9,50,8.996,24,12,13,8,17,21.340000000000003,28.700000000000003,8.0,36.94,2,fixed,False
1770028055.7643337,64.9,51,9.309803921568626,25,12,13,9,17,22.04,29.5,9.0,37.94,3,fixed,False
1770028055.7650733,65.9,51,9.809803921568628,26,12,13,9,17,22.740000000000002,30.350000000000005,9.0,38.94,3,fixed,False
1770028055.7826893,66.9,51,10.319607843137256,26,12,13,9,17,23.439999999999998,31.250000000000004,9.0,39.94,3,fixed,False
1770028055.7826893,67.9,53,10.432075471698115,27,12,13,9,19,24.14,32.150000000000006,9.0,43.0,3,fixed,False
1770028055.799912,68.9,50,7.608,19,12,10,9,19,24.839999999999996,10.0,9.1,44.1,4,fixed,False
1770028055.8127875,69.9,50,7.9879999999999995,19,12,10,9,19,25.54,10.0,9.2,45.2,4,fixed,False
1770028055.8127875,70.9,50,8.382,20,12,10,9,19,26.24,10.0,9.37,46.3,4,fixed,False
1770028055.8329484,71.9,48,9.160416666666666,21,12,8,9,19,26.939999999999998,8.0,9.63,47.400000000000006,4,fixed,False
1770028055.8329484,72.9,53,8.69245283018868,21,15,9,10,19,30.64,9.0,10.93,48.5,4,fixed,False
1770028055.8512583,73.9,52,9.263461538461538,21,16,7,10,19,32.34,7.0,11.23,49.6,4,fixed,False
1770028055.8512583,74.9,52,9.667307692307691,21,16,7,10,19,33.04,7.0,11.530000000000001,50.7,4,fixed,False
1770028055.8673537,75.9,50,10.475999999999999,22,16,4,10,20,33.739999999999995,4.0,11.83,52.81,4,fixed,False
